Country names,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Syrian Arab Republic,95,37,18,19,16,30,14,9,18430.453,426.666,7,70.31,80.84452,66.66408
Tajikistan,53,107,43,48,38,84,37,20,8734.951,250.673,11,71.051,99.45068,97.72782
Thailand,123,38,12,14,11,31,11,7,68863.514,725.666,9,75.303,92.86831,90.75587
The former Yugoslav Republic of Macedonia,123,37,12,13,11,34,11,8,2081.206,23.493,0,75.703,96.12893,91.05736
Timor–Leste,46,175,50,54,46,132,42,22,1268.671,44.03,2,68.881,58.30898,95.59233
Togo,21,145,76,82,70,89,51,26,7606.374,256.286,19,60.232,63.74562,95.43129
Tokelau,,,,,,,,,1.282,,,,,
Tonga,100,22,16,15,18,19,14,7,107.122,2.607,0,73.029,99.38553,88.23308
Trinidad and Tobago,92,30,19,20,17,26,17,13,1364.962,18.951,0,70.673,,95.23794
Tunisia,114,57,14,15,12,44,12,8,11403.248,210.021,3,75.731,79.03643,98.56518
Turkey,118,74,13,13,12,56,11,7,79512.426,1294.085,16,75.755,95.60142,94.13807
Turkmenistan,44,86,51,60,42,70,43,22,5662.544,144.35,7,67.835,,
Turks and Caicos Islands,,,,,,,,,34.9,,,,,
Tuvalu,78,57,25,28,23,44,21,17,11.097,,0,,,84.40111
Uganda,43,175,53,58,48,104,38,21,41487.965,1715.486,90,59.889,70.19822,93.65028
Ukraine,133,19,9,10,8,17,8,5,44438.625,479.168,4,71.96,99.97435,96.17551
United Arab Emirates,142,17,8,9,7,14,7,4,9269.612,91.583,1,77.256,90.03385,93.375
United Kingdom,164,9,4,5,4,8,4,3,65788.574,805.499,3,81.565,,99.85433
United Republic of Tanzania,36,179,57,60,53,108,40,22,55572.201,2086.732,117,65.675,77.88723,80.09053
United States,151,11,7,7,6,9,6,4,322179.605,4002.519,26,79.392,,93.75419
Uruguay,133,23,9,10,8,21,8,5,3444.006,48.546,0,77.493,98.52387,94.21768
Uzbekistan,80,72,24,27,21,59,21,14,31446.795,663.073,16,71.314,99.98383,94.69494
Vanuatu,73,36,28,30,25,29,23,12,270.402,6.93,0,72.133,74,85.81376
Venezuela (Bolivarian Republic of),100,30,16,18,15,25,14,10,31568.179,602.103,10,74.545,97.12709,89.85675
Viet Nam,82,51,22,25,18,37,17,12,94569.072,1581.762,34,76.253,93.52045,97.96511
Yemen,38,126,55,59,51,88,43,27,27584.213,867.303,48,64.953,,84.83733
Zambia,33,182,63,68,58,110,44,23,16591.39,620.261,39,61.874,83.00767,87.40411
Zimbabwe,37,75,56,62,51,50,40,23,16150.362,535.37,30,61.163,88.69342,85.86239
